Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
Novels (Desperation / Regulators),Stephen King,1996,N/A,N/A,N/A,eng
Star Trek Titan - Orion's Hounds,Christopher L. Bennett,2005,N/A,N/A,N/A,eng
Top 10,Alan Moore,2000,N/A,N/A,N/A,eng
Starflight,Melissa Landers,2016,N/A,N/A,N/A,eng
Flanders,Patricia Anthony,1998,N/A,N/A,N/A,eng
Hello? Is Anybody There?,Jostein Gaarder,1998,N/A,N/A,N/A,eng
Star Trek - Pawns and Symbols,"Majliss Larson, Jodie Larson",1985,N/A,N/A,N/A,"ger, eng"
Infinity Engine,Neal L. Asher,2017,N/A,N/A,N/A,eng
2041,Jane Yolen,1991,N/A,N/A,N/A,eng
Strontium Dog,"John Wagner, Alan Grant, Carlos Ezquerra, John Ridgway, Colin MacNeil, Kim Raymond, Keith Page, Rob Moran",2008,N/A,N/A,N/A,eng
Like a Mighty Army: A Novel in the Safehold Series,David Weber,2014,N/A,N/A,N/A,eng
Starwater strains,Gene Wolfe,2005,N/A,N/A,N/A,eng
Fire with Fire,Charles E. Gannon,2013,N/A,N/A,N/A,eng
Stargate,"Sheila Black, Dean Devlin, Roland Emmerich",1995,N/A,N/A,N/A,N/A
Dark Nebula,Sean Willson,2020,N/A,N/A,N/A,eng
Saving Verakko : The Clecanian Series,Victoria Aveline,2021,N/A,N/A,N/A,eng
Friends in High Places,Andi Marquette,2009,N/A,N/A,N/A,eng
Some Will Not Die,Algis Budrys,1978,N/A,N/A,N/A,eng
Shroud of the Second Coming,Scott Simpson,2021,N/A,N/A,N/A,eng
No Great Magic,Fritz Leiber,2009,N/A,N/A,N/A,eng
Suldrun's Garden,Jack Vance,1983,N/A,N/A,N/A,eng
The complete Ivory,Doris Egan,2001,N/A,N/A,N/A,eng
Narabedla Ltd,Frederik Pohl,1988,N/A,N/A,N/A,eng
Astro Adventurers,Kero Hero,2023,N/A,N/A,N/A,eng
Kazungul Book 1 : Blood Ties,Marcus Lukusa,2023,N/A,N/A,N/A,eng
Red Alert,"Peter Bryant, Peter George",2002,N/A,N/A,N/A,eng
"Stormlight Archive MM Boxed Set I, Books 1-3",Brandon Sanderson,2018,N/A,N/A,N/A,eng
Shades,Joss Whedon,2002,N/A,N/A,N/A,eng
Victory Harben,"Christopher Paul Carey, Mike Wolfer",2022,N/A,N/A,N/A,eng
The dream catcher,Monica Hughes        ,1986,N/A,N/A,N/A,eng
The men from P.I.G. and R.O.B.O.T,Harry Harrison,1974,N/A,N/A,N/A,"und, eng"
Danny Dunn and the voice from space,"Jay Williams, Raymond Abrashkin",1967,N/A,N/A,N/A,eng
Mortal Kombat,Kevin Droney,1995,N/A,N/A,N/A,eng
Time and Mr. Bass,Eleanor Cameron,1967,N/A,N/A,N/A,eng
de-Coding of Jo,Lali A. Love,2020,N/A,N/A,N/A,eng
Star in danger,Alice Leonhardt,1999,N/A,N/A,N/A,eng
Purple Cloud,M. P. Shiel,2009,N/A,N/A,N/A,eng
Dawn for a Distant Earth,"L. E. Modesitt, Jr.",1987,N/A,N/A,N/A,eng
Paradox,John Meaney,2000,N/A,N/A,N/A,eng
Predator,Steve Perry,2008,N/A,N/A,N/A,eng
Lord of the World,Robert Hugh Benson,2015,N/A,N/A,N/A,"eng, spa"
The Baby Mission,Jessa James,2020,N/A,N/A,N/A,"ger, eng"
The eighty-minute hour,Brian W. Aldiss,1974,N/A,N/A,N/A,eng
The Magic Thief,Sarah Prineas,2008,N/A,N/A,N/A,eng
Where eagles dare / Alistair MacLean,Alistair MacLean,2002,N/A,N/A,N/A,eng
Omega City,Diana Peterfreund,2015,N/A,N/A,N/A,eng
Star Lord,Louise Lawrence,1978,N/A,N/A,N/A,eng
Iron Man,"Ted Hughes, Andrew Davidson",2011,N/A,N/A,N/A,eng
The mantle of Kendis-Dai,Margaret Weis,1996,N/A,N/A,N/A,eng
Unwind Collection,Neal Shusterman,2013,N/A,N/A,N/A,eng
Bending the Landscape,"Nicola Griffith, Stephen Pagel",1998,N/A,N/A,N/A,eng
"Twilight Zone, The Movie",Robert Bloch,1983,N/A,N/A,N/A,N/A
When Its A Jar,Tom Holt,2013,N/A,N/A,N/A,eng
Quantum Leap Prelude (Quantum Leap),Ashley McConnell,1994,N/A,N/A,N/A,eng
Marco's Millions,William Sleator,2001,N/A,N/A,N/A,eng
Fatal,Michael Palmer,2002,N/A,N/A,N/A,eng
Veniss underground,Jeff VanderMeer,2003,N/A,N/A,N/A,eng
The galaxy game,"Karen Lord, Robin Miles",2014,N/A,N/A,N/A,eng
Feeling Strong,Ethel S. Person,2002,N/A,N/A,N/A,eng
Gotham Central Vol. 1,Greg Rucka,2004,N/A,N/A,N/A,eng
Power twins and the worm puzzle,Ken Follett,1976,N/A,N/A,N/A,"eng, spa"
The Fever (Replica 9),Marilyn Kaye,1999,N/A,N/A,N/A,eng
War fever,J. G. Ballard,1990,N/A,N/A,N/A,eng
The moon in the palace,Weina Dai Randel,2016,N/A,N/A,N/A,eng
Cycle of fire,Hal Clement,1957,N/A,N/A,N/A,eng
Cirque,Terry Carr,1977,N/A,N/A,N/A,eng
Mefisto in Onyx,Harlan Ellison,1993,N/A,N/A,N/A,eng
Wing commander,Mercedes Lackey,1992,N/A,N/A,N/A,eng
Pilgrimage to Earth,"Robert Sheckley, Robert Sheckley",1957,N/A,N/A,N/A,eng
Aurora Rising,Alastair Reynolds,2018,N/A,N/A,N/A,eng
Ardneh's Sword,Fred Saberhagen,2006,N/A,N/A,N/A,eng
Maihime,"Noboru Kimura, Kimura Noboru, Sato Ken-etsu",2006,N/A,N/A,N/A,eng
Lazarus vol. 1,Greg Rucka,2013,N/A,N/A,N/A,"ger, eng"
Star Trek The Next Generation - The Buried Age,Christopher L. Bennett,2007,N/A,N/A,N/A,eng
"Breakfast of champions, or, Goodbye blue Monday!",Kurt Vonnegut,1973,N/A,N/A,N/A,eng
Return to Zero,Pittacus Lore,2019,N/A,N/A,N/A,eng
The Last Hawk,Catherine Asaro,1997,N/A,N/A,N/A,eng
The watcher,Melinda Metz,1999,N/A,N/A,N/A,eng
Vitro,Jessica Khoury,2014,N/A,N/A,N/A,eng
The gardener,S. A. Bodeen,2010,N/A,N/A,N/A,eng
Spellsinger's scherzo,Alan Dean Foster,1984,N/A,N/A,N/A,eng
Siren,Linda Crockett Gray,1982,N/A,N/A,N/A,eng
Among the Hidden (Shadow Children #1),Margaret Peterson Haddix,2000,N/A,N/A,N/A,eng
"Attack on Titan, Vol. 5",諫山創,2013,N/A,N/A,N/A,eng
"Gate of ivory, gate of horn",Robert Holdstock,1997,N/A,N/A,N/A,eng
Beg For Mercy,Toni Andrews,2007,N/A,N/A,N/A,eng
Fantastic Four,Peter David,2005,N/A,N/A,N/A,eng
New Skies,"Patrick Nielsen Hayden, Orson Scott Card",2003,N/A,N/A,N/A,eng
The Other Side of the Sky,Arthur C. Clarke,1958,N/A,N/A,N/A,eng
The Wizards and the Warriors,Hugh Cook,1986,N/A,N/A,N/A,eng
Doctor Who,Justin Richards,2006,N/A,N/A,N/A,eng
The devil's children,Peter Dickinson,1970,N/A,N/A,N/A,"und, eng"
Marvel Visionaries,Jack Kirby,2004,N/A,N/A,N/A,eng
The star dwellers,James Blish,1961,N/A,N/A,N/A,eng
Live free or die,John Ringo,2010,N/A,N/A,N/A,eng
A knight of ghosts and shadows,Poul Anderson,1974,N/A,N/A,N/A,eng
G.I. Joe,Chuck Dixon,2012,N/A,N/A,N/A,eng
Rogue Star,"Frederik Pohl, Jack Williamson",1969,N/A,N/A,N/A,"eng, ger"
Star Wars - Junior Jedi Knights - Kenobi's Blade,Rebecca Moesta,1997,N/A,N/A,N/A,eng
Cartas de La Atlantida,Robert Silverberg,1990,N/A,N/A,N/A,"eng, spa"
Hilo,Judd Winick,2018,N/A,N/A,N/A,eng
Sever,Lauren DeStefano,2013,N/A,N/A,N/A,eng
After the red rain,Barry Lyga,2015,N/A,N/A,N/A,eng
Star Trek New Frontier - Martyr,Peter David,1998,N/A,N/A,N/A,"ger, eng"
Zorgamazoo,Robert Paul Weston,2008,N/A,N/A,N/A,eng
The Black Hole Report,"Blake A. Hoena, Steve Harpster",2008,N/A,N/A,N/A,eng
Star Wars - The Clone Wars - Operation Huttlet,Steele Filipek,2008,N/A,N/A,N/A,eng
Star Trek The Next Generation - The Eyes of the Beholders,A. C. Crispin,1990,N/A,N/A,N/A,eng
"Star Trek Deep Space Nine - Objective, Bajor",John Peel,1996,N/A,N/A,N/A,"ger, eng"
Star Wars - Dark Forces - Jedi Knight,"William C. Dietz, Dave Dorman",1998,N/A,N/A,N/A,eng
The Girl Who Leapt Through Time,David Karashima,2012,N/A,N/A,N/A,N/A
Judge Dredd,Brian Bolland,2003,N/A,N/A,N/A,eng
"Conquerors' Legacy (The Conquerors Saga, Book Three)",Timothy Zahn,1996,N/A,N/A,N/A,eng
A People's History of the Vampire Uprising,Raymond A. Villareal,2018,N/A,N/A,N/A,eng
Who goes here?,Bob Shaw,1977,N/A,N/A,N/A,eng
Children of Morrow,H. M. (Helen Mary) Hoover,1973,N/A,N/A,N/A,eng
Worlds Enough and Time,Joe Haldeman,1992,N/A,N/A,N/A,eng
Eyes of the sky,Rayda Jacobs,1996,N/A,N/A,N/A,eng
The Winter of the World,Poul Anderson,1975,N/A,N/A,N/A,eng
The silent warrior,"L. E. Modesitt, Jr.",1987,N/A,N/A,N/A,eng
Girl in the Golden Atom,Ray Cummings,2013,N/A,N/A,N/A,eng
The Return of Zita the Spacegirl,Ben Hatke,2014,N/A,N/A,N/A,N/A
Beyond Cyberpunk,"Graham J. Murphy, Sherryl Vint",2010,N/A,N/A,N/A,eng
Tantras,Scott Ciencin,1989,N/A,N/A,N/A,"fre, eng"
Forgetting,Sharon Cameron,2016,N/A,N/A,N/A,eng
The Rivers of Zadaa (Pendragon #6),D. J. MacHale,2006,N/A,N/A,N/A,eng
The Unlikely Adventures of Mabel Jones,Will Mabbitt,2015,N/A,N/A,N/A,eng
Star Trek Voyager - Equinox,"Diane Carey, Brannon Braga, Joe Menosky, Rick Berman",1999,N/A,N/A,N/A,eng
The Stars Now Unclaimed,Drew Williams,2018,N/A,N/A,N/A,eng
A Honeymoon in Space,"Griffith, George, Robert Godwin",2011,N/A,N/A,N/A,eng
Liminal States A Novel,Zack Parsons,2012,N/A,N/A,N/A,N/A
"Archangel (Samaria, Book 1)",Sharon Shinn,1997,N/A,N/A,N/A,eng
The Golden Barge,Michael Moorcock,1979,N/A,N/A,N/A,eng
The Four Guardians,Matt Laney,2019,N/A,N/A,N/A,eng
Rebels of Gor,John Norman,2013,N/A,N/A,N/A,eng
Wheel of Stars,Andre Norton,1983,N/A,N/A,N/A,eng
New Watch,Sergeĭ Lukʹi͡anenko,2013,N/A,N/A,N/A,eng
Ship of fools,Richard Paul Russo,2002,N/A,N/A,N/A,eng
American Specter,"Rasheedah Prioleau, Lauren Hunter",2014,N/A,N/A,N/A,eng
League of Allied Worlds,Ryan Magoteaux,2011,N/A,N/A,N/A,eng
The heirs of Hammerfell,Marion Zimmer Bradley,1989,N/A,N/A,N/A,"ger, eng"
The Great Time Machine Hoax,Keith Laumer,1964,N/A,N/A,N/A,"ger, eng"
Things we didn't see coming,Steven K. Amsterdam,2009,N/A,N/A,N/A,eng
Science fiction after 1900,Brooks Landon,1997,N/A,N/A,N/A,eng
The Rocketeer,Dave Stevens,1986,N/A,N/A,N/A,eng
The Mammoth book of mindblowing SF,Michael Ashley,2009,N/A,N/A,N/A,eng
Clockwork Lives,"Kevin J. Anderson, Neil Peart",2015,N/A,N/A,N/A,eng
X-treme X-Men,"Chris Claremont, Igor Kordey",2002,N/A,N/A,N/A,eng
The shifter,Janice Hardy,2009,N/A,N/A,N/A,eng
Mothership,"Bill Campbell, Edward Austin Hall",2013,N/A,N/A,N/A,eng
Superposition,David Walton,2015,N/A,N/A,N/A,eng
Sword of Chaos,Marion Zimmer Bradley,1982,N/A,N/A,N/A,"ger, eng"
Star Wars - The Essential Guide To Warfare,"Paul R. Urquhart, Jason Fry",2012,N/A,N/A,N/A,N/A
The Drowned Cities,Paolo Bacigalupi,2012,N/A,N/A,N/A,eng
Horizon (Above World #3),Jenn Reese,2014,N/A,N/A,N/A,eng
The lives and times of Jerry Cornelius,Michael Moorcock,1976,N/A,N/A,N/A,eng
Star Trek - Windows on a Lost World,V. E. Mitchell,1993,N/A,N/A,N/A,"eng, ger"
Star Trek New Frontier - Dark Allies,Peter David,1999,N/A,N/A,N/A,"ger, eng"
Star Trek Titan - The Red King,"Andy Mangels, Michael A. Martin",2005,N/A,N/A,N/A,eng
The female war,"Steve Perry, Stephani Perry",1993,N/A,N/A,N/A,eng
A Vision of Fire,"Gillian Anderson, Jeff Rovin",2014,N/A,N/A,N/A,"eng, fre"
Voorloper,Andre Norton,1980,N/A,N/A,N/A,eng
Run for cover,Eva Gray,2011,N/A,N/A,N/A,eng
Q-Zone,Greg Cox,1998,N/A,N/A,N/A,eng
The Afterblight Chronicles,Rebecca Levene,2007,N/A,N/A,N/A,eng
The White Invaders,Ray Cummings,2007,N/A,N/A,N/A,eng
Star Trek - Faces of Fire,Michael Jan Friedman,1992,N/A,N/A,N/A,eng
From time to time,Jack Finney,1995,N/A,N/A,N/A,eng
Orange,Ichigo Takano,2016,N/A,N/A,N/A,eng
Merlin,Jane Yolen,1997,N/A,N/A,N/A,eng
Exiles,Howard Weinstein,1990,N/A,N/A,N/A,eng
Wave without a Shore,C. J. Cherryh,1981,N/A,N/A,N/A,eng
Operation Terror,Murray Leinster,1962,N/A,N/A,N/A,eng
The invisible Fran,Jim Benton,2004,N/A,N/A,N/A,N/A
Brave New Girl,Rachel Vincent,2017,N/A,N/A,N/A,N/A
Every Sky a Grave,Jay Posey,2020,N/A,N/A,N/A,eng
Doctor Who: The Missy Chronicles,"Cavan Scott, Jac Rayner, Paul Magrs, James Gross, Richard Dinnick, Peter Anghelides",2018,N/A,N/A,N/A,eng
Mythopoeikon,Patrick Woodroffe,1976,N/A,N/A,N/A,eng
Star Trek Enterprise - The Good That Men Do,"Andy Mangels, Michael A. Martin",2007,N/A,N/A,N/A,eng
Nation under Our Feet,"Ta-Nehisi Coates, Brian Stelfreeze, Laura Martin",2016,N/A,N/A,N/A,eng
Worlds of Star Trek Deep Space Nine - Volume One - Cardassia and Andor,"Una McCormack, Heather Jarman",2004,N/A,N/A,N/A,eng
We All Died at Breakaway Station,Richard C. Meredith,1969,N/A,N/A,N/A,eng
The astounding-analog reader,"Harry Harrison, Brian W. Aldiss",1972,N/A,N/A,N/A,eng
The midnight game,"Johnny Ray Barnes, Marty M. Engle",1995,N/A,N/A,N/A,eng
Fever,Lauren DeStefano,2012,N/A,N/A,N/A,eng
Black Heart,Holly Black,2012,N/A,N/A,N/A,eng
Problem-Solving Exercises in Physics (Conceptual Physics WORKBOOK),Jennifer Bond Hickman,2002,N/A,N/A,N/A,eng
Star Wars,Catherine Saunders,2013,N/A,N/A,N/A,eng
Return of the sphinx,Hugh MacLennan,1967,N/A,N/A,N/A,eng
Lord Kelvin's machine,James P. Blaylock,1992,N/A,N/A,N/A,eng
Lint,Steve Aylett,2005,N/A,N/A,N/A,eng
"Huxley, Brave New World and Brave New World Revisited","Wilson F. Engel, Coles Publishing Company., Warren Paul",1966,N/A,N/A,N/A,"eng, und"
The Best American Science Fiction and Fantasy 2016,"Karen Joy Fowler, John Joseph Adams",2016,N/A,N/A,N/A,eng
Courageous,Jack Campbell,2008,N/A,N/A,N/A,eng
Brightly Burning,Alexa Donne,2018,N/A,N/A,N/A,eng
Alph,Charles Eric Maine,1972,N/A,N/A,N/A,eng
Dark Orbit,Carolyn Gilman,2015,N/A,N/A,N/A,eng
OCDaniel,Wesley King,2016,N/A,N/A,N/A,eng
The well of stars,Robert Reed,2004,N/A,N/A,N/A,eng
Star Wars - The Rise and Fall of Darth Vader,Ryder Windham,2007,N/A,N/A,N/A,eng
Tactics,"Sakura Kinoshita, Kazuko Higashiyama",2003,N/A,N/A,N/A,"eng, chi"
Knuckles The Echidna Archives,Sonic Scribes,2012,N/A,N/A,N/A,N/A
Invasive,Chuck Wendig,2016,N/A,N/A,N/A,eng
The World of the Hunger Games,Kate Egan,2012,N/A,N/A,N/A,eng
Beyond Apollo,Barry N. Malzberg,1972,N/A,N/A,N/A,eng
After doomsday,Poul Anderson,1962,N/A,N/A,N/A,eng
Young Rissa,F. M. Busby,1984,N/A,N/A,N/A,eng
Schismatrix Plus,Bruce Sterling,1996,N/A,N/A,N/A,eng
Neanderthal Planet,Brian W. Aldiss,1969,N/A,N/A,N/A,eng
The Second Trip,Robert Silverberg,1972,N/A,N/A,N/A,eng
Psycho Shop,Roger Zelazny,1998,N/A,N/A,N/A,"eng, fre"
Drive,James S. A. Corey,2012,N/A,N/A,N/A,eng
Matter's end,Gregory Benford,1991,N/A,N/A,N/A,"und, eng"
In the hall of the Martian king,John Barnes,2003,N/A,N/A,N/A,eng
Cobra Bargain,Timothy Zahn,1988,N/A,N/A,N/A,eng
Venus equilateral,George Oliver Smith,1947,N/A,N/A,N/A,"ger, eng"
Marvel Zombies,Marvel Comics,2007,N/A,N/A,N/A,N/A
Daredevil Epic Collection,"Ann Nocenti, D. G. Chichester, Eric Fein",2016,N/A,N/A,N/A,eng
Forests of the Night,Tanith Lee,1989,N/A,N/A,N/A,eng
Nebula Award Stories 9,Kate Wilhelm,1974,N/A,N/A,N/A,eng
NESFA Index to the Science Fiction Magazines and Original Anthologies,NESFA,1982,N/A,N/A,N/A,eng
Old Soldiers,David Weber,2005,N/A,N/A,N/A,eng
The new space opera 2,"Gardner R. Dozois, Jonathan Strahan",2007,N/A,N/A,N/A,eng
The Jupiter Theft,Donald Moffitt,1977,N/A,N/A,N/A,eng
The Night's Dawn Trilogy,Peter F. Hamilton,2000,N/A,N/A,N/A,eng
The Pandora Principle,Carolyn Clowes,1990,N/A,N/A,N/A,"ger, eng"
Into the Dark,Gena Showalter,2010,N/A,N/A,N/A,eng
Star Wars - Moving Target - A Princess Leia Adventure,"Cecil Castellucci, Jason Fry, Phil Noto",2015,N/A,N/A,N/A,eng
Future shock,"Briggs, Elizabeth (Young adult author)",2016,N/A,N/A,N/A,eng
Execution,Alexander Gordon Smith,2011,N/A,N/A,N/A,eng
The wanderers,Meg Howrey,2017,N/A,N/A,N/A,eng
"The Fran That Time Forgot (Franny K. Stein, Mad Scientist #4)",Jim Benton,2005,N/A,N/A,N/A,eng
Mammoth Book of Best New SF 29,Gardner R. Dozois,2016,N/A,N/A,N/A,N/A
Star Songs of an Old Primate,"James Tiptree, Jr.",1978,N/A,N/A,N/A,"spa, ger, eng"
The complete writer's guide to heroes & heroines,"Tami D. Cowden, Tami D. Cowden, Caro LaFever, Sue Viders",2000,N/A,N/A,N/A,eng
Doctor Who - The Tenth Doctor : Facing Fate Volume 1,Nick Abadzis,2018,N/A,N/A,N/A,N/A
Hidden Turnings,Diana Wynne Jones,1989,N/A,N/A,N/A,eng
Isaac Asimov Presents The Great SF Stories 25 (1963),"Isaac Asimov, Martin H. Greenberg, Fred Saberhagen, Christopher Anvil, John Brunner, Poul Anderson, Clifford D. Simak, Bruce McAllister, Hal Clement, Robert Silverberg, Ray Nelson, Alfred Bester, William Tenn, Roger Zelazny, Philip K. Dick",1992,N/A,N/A,N/A,eng
Omnibus of science fiction,Groff Conklin,1952,N/A,N/A,N/A,eng
The world below,S. Fowler Wright,1930,N/A,N/A,N/A,eng
The Mammoth Book of Time Travel SF,Michael Ashley,2013,N/A,N/A,N/A,eng
The consuming fire,John Scalzi,2018,N/A,N/A,N/A,eng
Empire of silence,Christopher Ruocchio,2018,N/A,N/A,N/A,eng
The unbeatable Squirrel Girl,Ryan North,2016,N/A,N/A,N/A,eng
Redemption,Mark Walden,1999,N/A,N/A,N/A,eng
We Could Be Heroes,Mike Chen,2021,N/A,N/A,N/A,eng
Catfantastic IV,"Andre Norton, Martin H. Greenberg",1996,N/A,N/A,N/A,eng
Rise of a hero,Hilari Bell,2005,N/A,N/A,N/A,eng
Commander Toad and the voyage home,Jane Yolen,1997,N/A,N/A,N/A,eng
The Spaceship Next Door,"Gene Doucette, Gene Doucette",2015,N/A,N/A,N/A,eng
Fugue for a darkening island,Christopher Priest,1972,N/A,N/A,N/A,eng
Hangar 13,Lindsay McKenna,1994,N/A,N/A,N/A,"chi, eng"
Divergent Boxed Set,Veronica Roth,2012,N/A,N/A,N/A,eng
Robot ghosts and wired dreams,Christopher Bolton,2007,N/A,N/A,N/A,eng
Zeros,Scott Westerfeld,2015,N/A,N/A,N/A,eng
The Diviner,Melanie Rawn,1999,N/A,N/A,N/A,eng
The Doctor Trap,Simon Messingham,2008,N/A,N/A,N/A,eng
The lost star,H. M. (Helen Mary) Hoover,1979,N/A,N/A,N/A,eng
Citadel,John Ringo,2011,N/A,N/A,N/A,N/A
Love minus eighty,Will McIntosh,2013,N/A,N/A,N/A,eng
Trail Through Time,Jodi Taylor,2015,N/A,N/A,N/A,eng
1984,"Robert Icke, Duncan Macmillan",2013,N/A,N/A,N/A,N/A
Asimov's Ghosts / Asimov's Monsters [24 stories],"Isaac Asimov, Martin H. Greenberg, Charles G. Waugh, Montague Rhodes James, Richard Middleton, Madeleine L'Engle, Ray Bradbury, Arthur Quiller-Couch, Edward Page Mitchell, Edward Lucas White, Ellen Anderson Gholson Glasgow, H. F. Brinsmead, Howard Goldsmith, Anne Serling, Rod Serling, Phyllis MacLennan, Richard Parker, Theodore Cogswell, Barbara Williamson, Tanith Lee, Saki, Charles Beaumont, Jerome Bixby, Mack Reynolds, Clifford D. Simak, Stephen King, Jane Yolen",1988,N/A,N/A,N/A,eng
The Quiet Woman,Christopher Priest,1990,N/A,N/A,N/A,eng
Marvel Masterworks,"Stan Lee, Jack Kirby",2012,N/A,N/A,N/A,eng
Tales Of Majipoor,"Robert Silverberg, Stefan Rudnicki",2013,N/A,N/A,N/A,eng
La Strana Macchina dei Libri,Elisabetta Dami,2011,N/A,N/A,N/A,"ita, eng"
Our Town,Eric Elfman,1997,N/A,N/A,N/A,eng
Barbie,Rita Balducci,1998,N/A,N/A,N/A,eng
Isaac Asimov's aliens & outworlders,"Shawna McCarthy, Kate Wilhelm, Ted Reynolds, William F. Wu, D D Storm, Isaac Asimov, Larry Niven, George Florance-Guthridge, Steve Perry, Scott R. Sanders, Madeline E Robins, Lisa Tuttle, Mary Kittredge, Kilworth, Garry, Jon L. Breen, Melisa Michaels, John Kelly undifferentiated, F. Gwynplaine MacIntyre, Michael P. Kube-McDowell, David R. Bunch, Jack C. Haldeman, Barry N. Malzberg, Bob Shaw",1983,N/A,N/A,N/A,eng
Avalon,Mindee Arnett,2014,N/A,N/A,N/A,eng
Remarkable Creatures,Tracy Chevalier,2010,N/A,N/A,N/A,N/A
"Tiger Moth, Kung Pow chicken",Aaron Reynolds,2008,N/A,N/A,N/A,eng
Fatal voyage,Kathy Reichs,2001,N/A,N/A,N/A,eng
Journey to the Center of the Earth,"Jules Verne, Mark Rich, A. r. Roumanis",2008,N/A,N/A,N/A,eng
Law of Survival,Kristine Smith,2001,N/A,N/A,N/A,eng
Ascension,Jaqueline Koyanagi,2013,N/A,N/A,N/A,N/A
Web,John Wyndham,1979,N/A,N/A,N/A,"eng, ger"
MEM,Bethany C. Morrow,2018,N/A,N/A,N/A,eng
The quiet war,Paul J. McAuley,2008,N/A,N/A,N/A,eng
The genius plague,David Walton,2017,N/A,N/A,N/A,eng
Star Trek Voyager - Unworthy,Kirsten Beyer,2009,N/A,N/A,N/A,eng
Context,John Meaney,2002,N/A,N/A,N/A,eng
Star Trek Deep Space Nine - Mission Gamma - Twilight,David R. George III,2002,N/A,N/A,N/A,eng
Doctor Who: The Drosten's Curse,A.L. Kennedy,2001,N/A,N/A,N/A,eng
Time was,"Steve Perry, Gary A. Braunbeck",1998,N/A,N/A,N/A,eng
The conglomeroid cocktail party,Robert Silverberg,1984,N/A,N/A,N/A,eng
The Wind from a Burning Woman,Greg Bear,1983,N/A,N/A,N/A,eng
Clone catcher,Alfred Slote,1982,N/A,N/A,N/A,eng
Batman's hero files,Billy Wrecks,2015,N/A,N/A,N/A,eng
The clones,"Gloria Skurzynski, Barry David Marcus",2002,N/A,N/A,N/A,eng
The best of Pokémon adventures Red,"Hidenori Kusaka, Mato",2006,N/A,N/A,N/A,eng
Diuturnity's Dawn,Alan Dean Foster,2002,N/A,N/A,N/A,eng
The legacy of Lehr,"Katherine Kurtz, Michael William Kaluta",1986,N/A,N/A,N/A,"ger, eng"
As on a darkling plain,Ben Bova,1972,N/A,N/A,N/A,eng
Orbital resonance,John Barnes,1991,N/A,N/A,N/A,"ger, dan, eng"
Blood Angels: The Second Omnibus,James Swallow,2012,N/A,N/A,N/A,N/A
The Barbie Murders,John Varley,1980,N/A,N/A,N/A,N/A
The merman's children,Poul Anderson,1979,N/A,N/A,N/A,"fre, eng"
Watchers of the dark,Lloyd Biggle Jr,1966,N/A,N/A,N/A,"eng, ger"
The Dream Archipelago,Christopher Priest,1981,N/A,N/A,N/A,"fre, eng"
The birth of the People's Republic of Antarctica,John Calvin Batchelor,1983,N/A,N/A,N/A,eng
Cinema of the Fantastic,"Chris Steinbrunner, Burt Goldblatt",1972,N/A,N/A,N/A,eng
Take back the skies,Lucy Saxon,2014,N/A,N/A,N/A,eng
Deception,Teri Terry,2019,N/A,N/A,N/A,eng
Shards & Ashes,"Melissa Marr, Veronica Roth, Margaret Stohl, Rachel Caine, Nancy Holder, Kami Garcia, Beth Revis, Carrie Ryan, Kelley Armstrong, Margaret Stohl",2013,N/A,N/A,N/A,eng
Mr. Harrison is embarrassin'!,"Dan Gutman, Jim Paillot",2011,N/A,N/A,N/A,eng
Quaranteen,Lex Thomas,2012,N/A,N/A,N/A,eng
The Pursuit of the Pankera,Robert A. Heinlein,2020,N/A,N/A,N/A,eng
The cult of the Black Virgin,Ean C. M. Begg,1985,N/A,N/A,N/A,"spa, eng"
Earth to earth,"Cornwell, John",1982,N/A,N/A,N/A,eng
Old Venus,"George R. R. Martin, Gardner R. Dozois",2015,N/A,N/A,N/A,eng
Dust (The Silo Trilogy),Hugh Howey,2016,N/A,N/A,N/A,N/A
Styx,Christopher Hyde,1982,N/A,N/A,N/A,eng
Transformers      The Veiled Threat (Transformers (Ballantine Books)),Alan Dean Foster,2009,N/A,N/A,N/A,N/A
Flying,Carrie Jones,2016,N/A,N/A,N/A,N/A
The Classic Philip José Farmer,Philip José Farmer,1984,N/A,N/A,N/A,eng
Apocalypse Troll,David Weber,1999,N/A,N/A,N/A,eng
Best American fantasy,"Jeff VanderMeer, Ann VanderMeer",2007,N/A,N/A,N/A,eng
"Star Wars - Darth Vader, dark lord of the Sith - Legacy's end",Charles Soule,2018,N/A,N/A,N/A,eng
Derelict for Trade,"Andre Norton, Sherwood Smith",1997,N/A,N/A,N/A,eng
Infidel,Kameron Hurley,2011,N/A,N/A,N/A,eng
Star Trek - Enterprise Logs,"Carol Greenburg, Robert Greenberger",2000,N/A,N/A,N/A,eng
The rings of Tantalus,"Edmund Cooper, Richard Avery",1975,N/A,N/A,N/A,"eng, ger"
The galactic gourmet,James White,1996,N/A,N/A,N/A,eng
Coyote rising,Allen M. Steele,2004,N/A,N/A,N/A,eng
Superman The Unauthorized Biography,Glen Weldon,2013,N/A,N/A,N/A,eng
A world too near,Kay Kenyon,2008,N/A,N/A,N/A,eng
This fortress world,James E. Gunn,1955,N/A,N/A,N/A,eng
Akira,"Otomo, Jo Duffy",1989,N/A,N/A,N/A,eng
The best of Clifford D. Simak,Clifford D. Simak,1975,N/A,N/A,N/A,eng
Villains of Volturnus,Jean Blashfield,1983,N/A,N/A,N/A,eng
