Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
Foundation's Edge,Isaac Asimov,1977,N/A,N/A,N/A,"tur, chi, ita, fre, por, spa, ger, eng"
Red Dragon,Thomas Harris,1981,N/A,N/A,N/A,"eng, por, spa, ger, chi, ita, fre, gre, vie"
Dandelion Wine,Ray Bradbury,1946,N/A,N/A,N/A,"rus, ger, eng, fre, spa"
La Nuit,Elie Wiesel,1955,N/A,N/A,N/A,"eng, ger, fre, yid, heb"
Biology,Neil Alexander Campbell,1987,N/A,N/A,N/A,"spa, fre, eng"
Ἀνάβασις,Xenophon,1623,N/A,N/A,N/A,"und, gre, rus, ger, ukr, ita, eng, grc, fre, lat, spa, heb"
Νόμοι,Πλάτων,1562,N/A,N/A,N/A,"eng, rum, spa, grc, ger, fre, gre, frm"
The Foundation Trilogy,Isaac Asimov,1950,N/A,N/A,N/A,"spa, por, rus, dut, ger, eng"
I am Legend,Richard Matheson,1954,N/A,N/A,N/A,"eng, ita, fre, spa, heb, rus"
From a Buick 8,Stephen King,1925,N/A,N/A,N/A,"dut, eng, tur, ger, fre, por, spa, pol, rus"
Dreamcatcher,Stephen King,2001,N/A,N/A,N/A,"eng, ger, fre, spa, rus"
The Shipping News,Annie Proulx,1993,N/A,N/A,N/A,"ger, pol, eng, dut, fre, spa, chi, por"
Rendezvous with Rama,Arthur C. Clarke,1973,N/A,N/A,N/A,"eng, chi"
The October Country,Ray Bradbury,1955,N/A,N/A,N/A,"eng, rus, spa, tur, fre"
The moon is a harsh mistress,Robert A. Heinlein,1965,N/A,N/A,N/A,"spa, heb, eng, fre, ger, jpn"
Mostly Harmless,Douglas Adams,1991,N/A,N/A,N/A,"und, ger, pol, ita, eng, dut, fre, kor, spa, por"
Atlas Shrugged,Ayn Rand,1936,N/A,N/A,N/A,"eng, rus, ger"
The Naked Sun,Isaac Asimov,1954,N/A,N/A,N/A,"eng, ita, fre, chi, spa, por, ger"
The Princess and Curdie,George MacDonald,1832,N/A,N/A,N/A,"eng, und"
Equal Rites,Terry Pratchett,1987,N/A,N/A,N/A,"spa, ger, eng, rus, pol, fre, cze"
Contact,Carl Sagan,1985,N/A,N/A,N/A,"chi, hrv, fre, spa, por, tur, swe, eng"
Captain Underpants and the Attack of the Talking Toilets,Dav Pilkey,1996,N/A,N/A,N/A,"rus, eng, jpn, fre, cat, spa, chi"
Dragonquest,Anne McCaffrey,1971,N/A,N/A,N/A,"fre, ita, dut, spa, ger, eng"
Eaters of the Dead,Michael Crichton,1976,N/A,N/A,N/A,"chi, por, eng, fre, spa, dut"
Children of Dune,Frank Herbert,1976,N/A,N/A,N/A,"eng, fre, chi, ger, spa, pol"
The warlord of Mars #3,"Edgar Rice Burroughs, Jim Killavey, Paula Paula",1919,N/A,N/A,N/A,eng
Artemis Fowl and the Arctic Incident,Eoin Colfer,2001,N/A,N/A,N/A,"dut, eng, ger, fre, por, spa, pol, wel"
Congo,Michael Crichton,1980,N/A,N/A,N/A,"chi, por, fre, spa, pol, dut, eng, ita"
Oryx and Crake,Margaret Atwood,2002,N/A,N/A,N/A,"per, swe, lit, dan, fin, nor, fre, ger, rum, por, gre, rus, cze, chi, pol, ita, eng"
Ringworld,Larry Niven,1970,N/A,N/A,N/A,"ger, spa, fre, eng"
The Door into Summer,Robert A. Heinlein,1957,N/A,N/A,N/A,"chi, fre, jpn, rus, spa, und, ger, pol, eng"
Wyrd Sisters,Terry Pratchett,1988,N/A,N/A,N/A,"spa, ger, eng, tur, rus, pol, fre, fin, cze"
Small Gods,Terry Pratchett,1992,N/A,N/A,N/A,"eng, ger, fre, cze, spa, rus"
Wolves of the Calla,Stephen King,2003,N/A,N/A,N/A,"rus, ger, pol, ita, eng, spa, chi"
The Gods Themselves,Isaac Asimov,1972,N/A,N/A,N/A,"eng, tur, ger, ita, fre, spa, chi, pol"
Redwall (Redwall #1),Brian Jacques,1986,N/A,N/A,N/A,"ger, ita, eng, fre, spa"
Γοργίας,Πλάτων,1827,N/A,N/A,N/A,"grc, heb, ita, jpn, lat, ger, gre, mac, dan, fin, fre, mul, spa, pol, eng"
That hideous strength,C.S. Lewis,1945,N/A,N/A,N/A,"eng, pol"
Foundation and Earth,Isaac Asimov,1986,N/A,N/A,N/A,"ger, ita, tur, eng, est, fre, spa, chi"
The Passage,Justin Cronin,2010,N/A,N/A,N/A,"ita, dut, spa, heb, eng, ger, fre"
Never Let Me Go,Kazuo Ishiguro,2005,N/A,N/A,N/A,"tur, fre, und, jpn, rus, chi, spa, ita, eng"
